Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D,D_SOD-323,141.037273,-30.0,90.0,top
D10,D,D_SOD-323,141.037273,-59.0,90.0,top
D11,D,D_SOD-323,129.49,-53.01,90.0,top
D12,D,D_SOD-323,129.49,-59.0,90.0,top
D13,D,D_SOD-323,187.556942,-41.0,90.0,top
D14,D,D_SOD-323,187.556942,-47.0,90.0,top
D15,D,D_SOD-323,175.679091,-41.0,90.0,top
D16,D,D_SOD-323,175.679091,-47.0,90.0,top
D17,D,D_SOD-323,175.679091,-30.0,90.0,top
D18,D,D_SOD-323,175.679091,-35.2,90.0,top
D19,D,D_SOD-323,187.556942,-30.0,90.0,top
D2,D,D_SOD-323,141.037273,-35.2,90.0,top
D20,D,D_SOD-323,187.556942,-35.2,90.0,top
D21,D,D_SOD-323,129.49,-41.0,90.0,top
D22,D,D_SOD-323,129.49,-47.0,90.0,top
D23,D,D_SOD-323,141.037273,-41.0,90.0,top
D24,D,D_SOD-323,141.037273,-47.0,90.0,top
D25,D,D_SOD-323,152.716777,-41.0,90.0,top
D26,D,D_SOD-323,152.716777,-47.0,90.0,top
D27,D,D_SOD-323,187.556942,-53.01,90.0,top
D28,D,D_SOD-323,187.556942,-59.0,90.0,top
D29,D,D_SOD-323,175.679091,-53.01,90.0,top
D3,D,D_SOD-323,129.49,-30.0,90.0,top
D30,D,D_SOD-323,175.679091,-59.0,90.0,top
D31,D,D_SOD-323,164.330165,-53.01,90.0,top
D32,D,D_SOD-323,164.330165,-59.0,90.0,top
D33,D,D_SOD-323,152.716777,-53.01,90.0,top
D34,D,D_SOD-323,152.716777,-59.0,90.0,top
D37,D,D_SOD-323,164.330165,-41.0,90.0,top
D38,D,D_SOD-323,164.330165,-47.0,90.0,top
D4,D,D_SOD-323,129.49,-35.2,90.0,top
D5,D,D_SOD-323,152.716777,-30.0,90.0,top
D6,D,D_SOD-323,152.716777,-35.2,90.0,top
D7,D,D_SOD-323,164.330165,-30.0,90.0,top
D8,D,D_SOD-323,164.330165,-35.2,90.0,top
D9,D,D_SOD-323,141.037273,-53.01,90.0,top
J1,Conn_01x24_Socket,1x24P Female Header Hong Cheng HC-PM254-8.5H-1x24PZ,161.29,-15.24,0.0,top
J2,Conn_01x24_Socket,1x24P Female Header Hong Cheng HC-PM254-8.5H-1x24PZ,100.5,-45.17,-90.0,top
J3,Conn_01x24_Socket,1x24P Female Header Hong Cheng HC-PM254-8.5H-1x24PZ,115.74,-45.17,-90.0,top
R1,10k,R_0402_1005Metric,146.910083,-30.0225,90.0,top
R11,10k,R_0402_1005Metric,152.4,-23.51,-90.0,top
R12,10k,R_0402_1005Metric,154.94,-23.51,-90.0,top
R13,10k,R_0402_1005Metric,157.48,-23.51,-90.0,top
R14,10k,R_0402_1005Metric,160.02,-23.51,-90.0,top
R15,10k,R_0402_1005Metric,162.56,-23.51,-90.0,top
R16,10k,R_0402_1005Metric,165.1,-23.51,-90.0,top
R17,10k,R_0402_1005Metric,167.64,-23.51,-90.0,top
R18,10k,R_0402_1005Metric,170.18,-23.51,-90.0,top
R19,10k,R_0402_1005Metric,172.72,-23.51,-90.0,top
R2,10k,R_0402_1005Metric,146.910083,-35.2225,90.0,top
R20,10k,R_0402_1005Metric,175.26,-23.51,-90.0,top
R21,10k,R_0402_1005Metric,135.296694,-35.2225,90.0,top
R22,10k,R_0402_1005Metric,135.296694,-30.0225,90.0,top
R23,10k,R_0402_1005Metric,158.523471,-30.0225,90.0,top
R24,10k,R_0402_1005Metric,158.523471,-35.2225,90.0,top
R25,10k,R_0402_1005Metric,170.136859,-30.0225,90.0,top
R26,10k,R_0402_1005Metric,170.136859,-35.2225,90.0,top
R27,10k,R_0402_1005Metric,146.910083,-53.0325,90.0,top
R28,10k,R_0402_1005Metric,146.910083,-59.0225,90.0,top
R29,10k,R_0402_1005Metric,135.296694,-53.0325,90.0,top
R3,100k,R_0402_1005Metric,134.62,-23.51,-90.0,top
R30,10k,R_0402_1005Metric,135.296694,-59.0225,90.0,top
R31,10k,R_0402_1005Metric,192.0,-41.0,90.0,top
R32,10k,R_0402_1005Metric,192.0,-47.0,90.0,top
R33,10k,R_0402_1005Metric,181.0,-41.0,90.0,top
R34,10k,R_0402_1005Metric,181.0,-47.0,90.0,top
R35,10k,R_0402_1005Metric,181.0,-30.0,90.0,top
R36,10k,R_0402_1005Metric,181.0,-35.2,90.0,top
R37,10k,R_0402_1005Metric,192.0,-30.0,90.0,top
R38,10k,R_0402_1005Metric,192.0,-35.2,90.0,top
R39,10k,R_0402_1005Metric,135.296694,-41.0225,90.0,top
R4,100k,R_0402_1005Metric,137.16,-23.51,-90.0,top
R40,10k,R_0402_1005Metric,135.296694,-47.0225,90.0,top
R41,10k,R_0402_1005Metric,146.910083,-41.0225,90.0,top
R42,10k,R_0402_1005Metric,146.910083,-47.0225,90.0,top
R43,10k,R_0402_1005Metric,158.523471,-41.0225,90.0,top
R44,10k,R_0402_1005Metric,158.523471,-47.0225,90.0,top
R45,10k,R_0402_1005Metric,192.0,-53.01,90.0,top
R46,10k,R_0402_1005Metric,192.0,-59.0,90.0,top
R47,10k,R_0402_1005Metric,181.0,-53.01,90.0,top
R48,10k,R_0402_1005Metric,181.0,-59.0,90.0,top
R49,10k,R_0402_1005Metric,170.136859,-53.0325,90.0,top
R5,100k,R_0402_1005Metric,139.7,-23.51,-90.0,top
R50,10k,R_0402_1005Metric,170.136859,-59.0225,90.0,top
R51,10k,R_0402_1005Metric,158.523471,-53.0325,90.0,top
R52,10k,R_0402_1005Metric,158.523471,-59.0225,90.0,top
R55,10k,R_0402_1005Metric,170.136859,-41.0225,90.0,top
R56,10k,R_0402_1005Metric,170.136859,-47.0225,90.0,top
R6,100k,R_0402_1005Metric,142.24,-23.51,-90.0,top
R7,100k,R_0402_1005Metric,144.8,-23.51,-90.0,top
R8,10k,R_0402_1005Metric,147.32,-23.51,-90.0,top
R9,10k,R_0402_1005Metric,149.86,-23.51,-90.0,top
